,loss,dice_coef,iou_coef,val_loss,val_dice_coef,val_iou_coef
0,0.2832624614238739,0.48967161774635315,0.3032945394515991,0.430155485868454,0.20832107961177826,0.29379308223724365
1,0.1669287234544754,0.6970045566558838,0.5819576978683472,0.42567431926727295,0.21668481826782227,0.3600214123725891
2,0.1385301947593689,0.7489309906959534,0.6663147211074829,0.4223732650279999,0.2331894338130951,0.46773290634155273
3,0.12537436187267303,0.7727208137512207,0.7062422037124634,0.3955461084842682,0.2744702994823456,0.4786832630634308
4,0.10986338555812836,0.8010735511779785,0.7436215281486511,0.3865436911582947,0.2990921437740326,0.5453109741210938
5,0.10306017845869064,0.813346266746521,0.7669351100921631,0.3355233371257782,0.38137081265449524,0.6012606620788574
6,0.09587103128433228,0.8263179659843445,0.7874532341957092,0.38327205181121826,0.2957029938697815,0.4418266713619232
7,0.08899199962615967,0.8388267755508423,0.7988570332527161,0.31923708319664,0.42469528317451477,0.6209293603897095
8,0.08798246830701828,0.8405969142913818,0.8038379549980164,0.34851714968681335,0.36304280161857605,0.5863734483718872
9,0.08222466707229614,0.8510351181030273,0.8167064785957336,0.34409233927726746,0.37454310059547424,0.6146347522735596
10,0.07931362092494965,0.856237530708313,0.825171947479248,0.34074002504348755,0.433307409286499,0.6307622790336609
11,0.07616070657968521,0.8619243502616882,0.8356375098228455,0.3050912022590637,0.47534093260765076,0.6473755836486816
12,0.07314499467611313,0.8673694729804993,0.8447265028953552,0.3228476047515869,0.4138604700565338,0.6336244940757751
13,0.07245513051748276,0.8687320351600647,0.8421701788902283,0.39457112550735474,0.2783801257610321,0.4200269877910614
14,0.06831831485033035,0.8760289549827576,0.8571605086326599,0.25573083758354187,0.5555485486984253,0.6801035404205322
15,0.06689387559890747,0.8786324262619019,0.8608096241950989,0.394866406917572,0.29296281933784485,0.512298047542572
16,0.06606420129537582,0.880048930644989,0.8654931783676147,0.22768257558345795,0.615673840045929,0.698832631111145
17,0.06408940255641937,0.883630096912384,0.8735244870185852,0.4210209846496582,0.23936572670936584,0.390701562166214
18,0.06356241554021835,0.8847635984420776,0.8649228811264038,0.37877240777015686,0.33548882603645325,0.5147619247436523
19,0.06403147429227829,0.8838245868682861,0.865741491317749,0.2855141758918762,0.4934388995170593,0.680450439453125
20,0.06093500927090645,0.8893401622772217,0.8807961940765381,0.3046891987323761,0.4898616671562195,0.6508598327636719
21,0.06015676632523537,0.8907922506332397,0.8793249726295471,0.2252710461616516,0.60982346534729,0.715266764163971
22,0.05936558544635773,0.8922425508499146,0.8790438175201416,0.2479371726512909,0.5649712681770325,0.6982573866844177
23,0.05740736424922943,0.8957447409629822,0.8872459530830383,0.20312157273292542,0.658736526966095,0.7297807335853577
24,0.05821006000041962,0.8942359089851379,0.8862110376358032,0.28354477882385254,0.5000198483467102,0.6809976100921631
25,0.054185640066862106,0.9015367031097412,0.8985913395881653,0.25823065638542175,0.5492887496948242,0.6886662244796753
26,0.05437605082988739,0.9011745452880859,0.8964117169380188,0.21988464891910553,0.6297404766082764,0.7175856828689575
27,0.055847376585006714,0.898557722568512,0.8897765278816223,0.2938135862350464,0.4871317446231842,0.6502259969711304
28,0.054024770855903625,0.902223527431488,0.9017244577407837,0.2198881357908249,0.6372988820075989,0.7169410586357117
29,0.05172933638095856,0.9060467481613159,0.9072924852371216,0.1953505277633667,0.6817402243614197,0.728224515914917
